Entity,Code,Year,Plastic,GDP,Population,Continent
Nicaragua,NIC,2010,0.143,4611.785692,5824058,
Nigeria,NGA,2010,0.103,4932.3348,158503203,
Niue,NIU,2010,0.252,,1622,
Norfolk Island,NFK,2010,0.103,,,
North Korea,PRK,2010,0.054,,24548840,
Northern Mariana Islands,MNP,2010,0.252,,53971,
Norway,NOR,2010,0.28,61353.49639,4885878,
Oman,OMN,2010,0.084,33864.98374,3041435,
Pakistan,PAK,2010,0.103,3906.873971,179424643,
Palau,PLW,2010,0.144,15062.49579,17954,
Palestine,PSE,2010,0.063,5411.066482,4055632,
Panama,PAN,2010,0.145,21343.30499,3642691,
Papua New Guinea,PNG,2010,0.103,3406.64404,7310512,
Peru,PER,2010,0.144,10066.46757,29027680,
Philippines,PHL,2010,0.075,5918.373229,93966784,
Poland,POL,2010,0.097,23996.13978,38329784,
Portugal,PRT,2010,0.265,31798.15381,10596055,
Puerto Rico,PRI,2010,0.252,32960.69111,3579842,
Qatar,QAT,2010,0.16,95908.31282,1856329,
Reunion,REU,2010,0.144,,830507,
Romania,ROU,2010,0.042,20303.1628,20471860,
Russia,RUS,2010,0.112,23961.22029,143479273,
Saint Helena,SHN,2010,0.144,,5183,
Saint Kitts and Nevis,KNA,2010,0.654,23710.3475,49011,
Saint Lucia,LCA,2010,0.522,14109.41343,174092,
Saint Pierre and Miquelon,SPM,2010,0.252,,6361,
Saint Vincent and the Grenadines,VCT,2010,0.221,11447.46662,108260,
Samoa,WSM,2010,0.103,6006.383728,185944,
Sao Tome and Principe,STP,2010,0.103,3357.470193,180372,
Saudi Arabia,SAU,2010,0.156,44036.76735,27421468,
Senegal,SEN,2010,0.103,2797.11016,12678143,
Seychelles,SYC,2010,0.358,20892.69175,91273,
Sierra Leone,SLE,2010,0.041,1413.563736,6415636,
Singapore,SGP,2010,0.194,78294.03142,5131170,
Sint Maarten (Dutch part),SXM,2010,0.252,43543.88976,34166,
Slovenia,SVN,2010,0.145,33355.84763,2043336,
Solomon Islands,SLB,2010,0.103,2439.862325,527861,
Somalia,SOM,2010,0.054,,12043886,
South Africa,ZAF,2010,0.24,12452.33753,51216967,
South Korea,KOR,2010,0.112,34394.49049,49545638,
Spain,ESP,2010,0.277,37319.47622,46931011,
Sri Lanka,LKA,2010,0.357,9126.865612,20261738,
Sudan,SDN,2010,0.103,3089.572476,34545014,
Suriname,SUR,2010,0.163,18840.36897,529126,
Sweden,SWE,2010,0.048,47791.37152,9390157,
Syria,SYR,2010,0.178,,21362541,
Taiwan,TWN,2010,0.252,,23187556,
Tanzania,TZA,2010,0.023,2006.971326,44346532,
Thailand,THA,2010,0.144,14399.04451,67195032,
Togo,TGO,2010,0.057,1625.545446,6421674,
Tokelau,TKL,2010,0.103,,1129,
Tonga,TON,2010,0.223,5166.932054,103981,
Trinidad and Tobago,TTO,2010,0.29,28879.28737,1328144,
Tunisia,TUN,2010,0.144,10113.37035,10635245,
